arrondissement,no2,o3,pm10,annee
10,21,37,19,2018
11,23,37,20,2018
12,29,37,20,2018
13,22,36,20,2018
14,21,36,19,2018
15,19,35,19,2018
16,24,35,17,2018
17,23,37,17,2018
18,19,38,19,2018
19,22,38,20,2018
20,24,37,20,2018
1,44,36,32,2018
2,45,37,32,2018
3,47,36,32,2018
4,48,37,32,2018
5,48,37,32,2018
6,45,37,32,2018
7,41,37,32,2018
8,41,37,30,2018
9,42,37,30,2018
10,45,37,32,2018
11,47,37,34,2018
12,48,37,37,2018
13,50,38,35,2018
14,45,38,34,2018
15,36,38,32,2018
16,38,38,32,2018
17,42,38,30,2018
18,42,38,32,2018
19,45,38,34,2018
20,46,37,34,2018
1,56,41,45,2018
2,56,41,47,2018
3,55,41,47,2018
4,56,41,47,2018
5,56,41,47,2018
6,56,41,45,2018
7,56,42,44,2018
8,56,43,44,2018
9,55,43,45,2018
10,55,43,47,2018
11,55,42,47,2018
12,54,44,47,2018
13,56,43,45,2018
14,55,43,44,2018
15,54,43,42,2018
16,55,43,40,2018
17,55,44,45,2018
18,55,45,47,2018
19,55,45,49,2018
20,54,43,47,2018
1,52,51,50,2018
2,52,51,50,2018
3,51,53,49,2018
4,52,53,49,2018
5,51,52,49,2018
6,51,51,49,2018
7,52,50,53,2018
8,53,49,53,2018
9,52,50,52,2018
10,52,52,52,2018
11,51,53,50,2018
12,49,54,49,2018
13,48,53,49,2018
14,51,52,52,2018
15,53,50,54,2018
16,53,48,55,2018
17,53,49,54,2018
18,52,52,53,2018
19,50,53,52,2018
20,49,53,50,2018
1,55,47,54,2018
2,55,48,54,2018
3,53,48,55,2018
4,54,48,55,2018
5,53,47,55,2018
6,54,47,55,2018
7,62,47,54,2018
8,59,48,53,2018
9,54,49,52,2018
10,53,49,54,2018
11,53,49,54,2018
12,51,50,54,2018
13,50,49,55,2018
14,55,48,54,2018
15,60,48,54,2018
16,61,48,52,2018
17,59,50,52,2018
18,54,51,52,2018
19,56,51,54,2018
20,52,50,54,2018
1,60,56,63,2018
2,61,56,63,2018
3,60,57,63,2018
4,60,57,63,2018
5,59,57,63,2018
6,59,56,62,2018
7,60,56,62,2018
8,61,56,64,2018
9,62,55,62,2018
10,62,56,62,2018
11,60,56,62,2018
12,58,56,62,2018
13,58,56,62,2018
14,58,56,60,2018
15,58,55,60,2018
16,59,55,67,2018
17,61,55,65,2018
18,63,55,62,2018
19,63,56,60,2018
20,60,56,60,2018
1,30,54,47,2018
2,31,54,47,2018
3,30,54,47,2018
4,31,55,47,2018
5,32,55,45,2018
6,31,55,45,2018
7,31,54,47,2018
8,34,54,47,2018
9,33,54,47,2018
10,33,54,49,2018
11,32,55,49,2018
12,36,55,47,2018
13,34,55,45,2018
14,32,55,45,2018
15,33,55,45,2018
16,33,54,47,2018
17,39,54,49,2018
18,39,54,50,2018
19,35,54,50,2018
20,34,55,49,2018
1,32,42,52,2018
2,36,43,52,2018
3,34,42,52,2018
4,32,42,52,2018
5,31,43,52,2018
6,30,43,52,2018
7,31,43,52,2018
8,40,44,52,2018
9,41,44,52,2018
10,41,44,52,2018
11,38,43,52,2018
12,36,43,52,2018
13,33,44,52,2018
14,30,43,52,2018
15,27,44,52,2018
16,39,44,52,2018
17,45,45,52,2018
18,47,45,52,2018
19,42,45,52,2018
20,39,44,52,2018
1,19,36,35,2018
2,19,36,35,2018
3,19,36,35,2018
4,19,36,35,2018
5,19,36,35,2018
6,19,37,35,2018
7,21,36,35,2018
8,19,36,35,2018
9,20,37,35,2018
10,21,37,35,2018
11,21,37,35,2018
12,21,37,35,2018
13,21,37,35,2018
14,20,37,35,2018
15,21,37,35,2018
16,20,38,37,2018
17,19,37,35,2018
18,23,37,34,2018
19,25,38,34,2018
20,21,37,34,2018
1,25,40,30,2018
2,24,40,32,2018
3,25,40,32,2018
4,26,40,32,2018
5,27,40,32,2018
6,27,40,30,2018
7,29,40,30,2018
8,28,41,30,2018
9,23,41,30,2018
10,24,41,32,2018
11,29,41,32,2018
12,33,41,32,2018
13,31,41,32,2018
14,28,41,32,2018
15,28,40,30,2018
16,32,40,32,2018
17,30,42,30,2018
18,24,43,32,2018
19,29,42,32,2018
20,30,41,32,2018
1,19,34,27,2018
2,18,34,27,2018
3,19,34,27,2018
4,19,34,27,2018
5,19,34,29,2018
6,19,34,29,2018
7,21,35,27,2018
8,19,35,27,2018
9,17,35,25,2018
10,19,35,27,2018
11,19,35,27,2018
12,19,35,27,2018
13,18,35,29,2018
14,18,35,29,2018
15,20,35,29,2018
16,19,35,29,2018
17,17,35,27,2018
18,17,35,24,2018
19,19,35,25,2018
20,19,35,25,2018
1,28,37,27,2018
2,28,37,27,2018
3,33,37,27,2018
4,35,37,27,2018
5,35,36,27,2018
6,32,36,27,2018
7,28,37,27,2018
8,30,38,27,2018
9,25,38,25,2018
10,30,38,27,2018
11,39,37,27,2018
12,42,37,27,2018
13,42,36,27,2018
14,34,37,27,2018
15,27,37,27,2018
16,38,38,27,2018
17,35,38,27,2018
18,27,38,25,2018
19,36,38,25,2018
20,39,37,27,2018
1,37,38,42,2018
2,38,38,40,2018
3,38,38,42,2018
4,37,38,42,2018
5,37,38,42,2018
