arrondissement,annee,part_T1,part_T2,part_T3,part_T4
1.0,2020,22.22222222222222,17.543859649122805,10.23391812865497,50.0
1.0,2021,21.465968586387437,14.921465968586386,9.947643979057592,53.66492146596858
1.0,2022,15.521628498727736,17.938931297709924,9.414758269720101,57.12468193384224
1.0,2023,13.309352517985612,21.942446043165468,11.510791366906476,53.23741007194245
1.0,2024,11.428571428571429,16.19047619047619,9.761904761904763,62.61904761904762
1.0,2025,16.27906976744186,11.960132890365449,8.970099667774086,62.7906976744186
2.0,2020,26.74498963372495,19.143054595715274,9.053213545266066,45.05874222529371
2.0,2021,21.51639344262295,19.262295081967213,10.040983606557377,49.18032786885246
2.0,2022,20.784313725490197,18.823529411764707,10.0,50.3921568627451
2.0,2023,20.33898305084746,13.220338983050848,8.813559322033898,57.6271186440678
2.0,2024,20.854700854700855,16.068376068376068,6.666666666666667,56.41025641025641
2.0,2025,20.506912442396313,18.433179723502306,9.44700460829493,51.61290322580645
3.0,2020,23.72322899505766,23.72322899505766,14.497528830313014,38.056013179571664
3.0,2021,15.23545706371191,19.113573407202217,10.110803324099724,55.54016620498615
3.0,2022,16.40953716690042,18.513323983169705,9.747545582047685,55.329593267882196
3.0,2023,15.703703703703702,17.925925925925927,11.25925925925926,55.111111111111114
3.0,2024,17.111650485436893,20.75242718446602,7.766990291262135,54.36893203883495
3.0,2025,19.82905982905983,17.60683760683761,9.743589743589745,52.820512820512825
4.0,2020,24.316546762589926,22.58992805755396,13.66906474820144,39.42446043165468
4.0,2021,14.361702127659576,14.716312056737587,10.815602836879433,60.1063829787234
4.0,2022,14.628297362110313,15.107913669064748,11.270983213429256,58.992805755395686
4.0,2023,14.774774774774773,22.702702702702705,12.432432432432433,50.09009009009009
4.0,2024,15.861027190332328,17.82477341389728,9.06344410876133,57.250755287009056
4.0,2025,15.229357798165138,15.77981651376147,8.807339449541285,60.18348623853211
5.0,2020,25.077399380804955,24.613003095975234,14.396284829721361,35.91331269349845
5.0,2021,12.5,16.666666666666664,12.5,58.333333333333336
5.0,2022,15.963855421686745,16.834002677376173,9.906291834002676,57.295850066934406
5.0,2023,16.666666666666664,15.251572327044025,10.471698113207548,57.61006289308176
5.0,2024,18.160919540229887,14.64367816091954,9.379310344827587,57.81609195402299
5.0,2025,21.67487684729064,15.024630541871922,9.113300492610838,54.187192118226605
6.0,2020,12.344497607655502,12.248803827751196,9.282296650717702,66.1244019138756
6.0,2021,25.0,25.0,0.0,50.0
6.0,2022,12.892776158082281,13.216715257531582,8.325234855847102,65.56527372853903
6.0,2023,11.421850496602195,10.062728698379509,7.684265551489807,70.8311552535285
6.0,2024,13.010752688172042,12.10752688172043,9.46236559139785,65.41935483870968
6.0,2025,14.009661835748794,15.458937198067632,8.695652173913043,61.83574879227053
7.0,2020,13.0,11.666666666666666,9.666666666666666,65.66666666666666
7.0,2021,0.0,7.142857142857142,7.142857142857142,85.71428571428571
7.0,2022,9.381765696415684,9.766658648063506,7.673803223478471,73.17777243204235
7.0,2023,8.650850706925475,9.944883776659477,8.219506350347473,73.18475916606758
7.0,2024,8.423545331529093,10.859269282814614,7.527063599458728,73.19012178619757
7.0,2025,8.108108108108109,8.585055643879173,8.108108108108109,75.19872813990462
8.0,2020,11.21031746031746,12.996031746031747,9.424603174603174,66.36904761904762
8.0,2021,8.970727101038715,7.932011331444759,6.421152030217186,76.67610953729934
8.0,2022,9.74002196997437,6.114976199194435,6.151592823141707,77.9934090076895
8.0,2023,6.913827655310621,5.511022044088176,4.108216432865731,83.46693386773548
8.0,2024,8.194774346793348,7.541567695961995,5.7007125890736345,78.56294536817103
8.0,2025,8.712487899322362,8.906098741529526,5.614714424007745,76.76669893514037
9.0,2020,18.92664337885043,17.561130517624644,15.62400762146713,47.888218482057795
9.0,2021,13.594306049822064,13.87900355871886,10.747330960854093,61.779359430604984
9.0,2022,13.490437158469945,13.729508196721312,10.382513661202186,62.39754098360656
9.0,2023,14.792176039119804,12.34718826405868,10.635696821515893,62.224938875305625
9.0,2024,13.982770046388337,12.19350563286945,10.536779324055665,63.28694499668654
9.0,2025,13.810556760665222,12.292118582791034,8.893709327548807,65.00361532899494
10.0,2020,22.2537207654146,24.120009449562957,15.497283250649657,38.128986534372785
10.0,2021,14.87426431246656,18.405564472980203,12.680577849117174,54.03959336543607
10.0,2022,14.293801302009623,17.209170676478912,11.20860458533824,57.28842343617322
10.0,2023,17.545541706615534,17.449664429530202,9.204218600191755,55.80057526366251
10.0,2024,15.808383233532936,18.982035928143713,9.940119760479043,55.269461077844305
10.0,2025,15.600287562904386,17.613227893601728,9.417685118619698,57.3687994248742
11.0,2020,21.46704689480355,26.045627376425855,15.383396704689481,37.10392902408112
11.0,2021,8.571428571428571,17.142857142857142,11.428571428571429,62.857142857142854
11.0,2022,14.170975904940036,19.65012652657058,10.386181098030587,55.79271647045879
11.0,2023,14.351252793788966,18.433125514645337,10.245853429008351,56.96976826255734
11.0,2024,14.358589647411854,19.474868717179294,9.099774943735934,57.066766691672925
11.0,2025,14.083259521700619,18.157661647475642,9.654561558901682,58.10451727192205
12.0,2020,14.961547424842694,27.685854113260312,15.590771381962245,41.76182707993475
12.0,2021,9.375,21.875,15.625,53.125
12.0,2022,10.41024059222702,14.528069093152373,10.980876002467612,64.080814312153
12.0,2023,10.251450676982591,14.648613797549967,8.600902643455836,66.4990328820116
12.0,2024,10.157943635800558,16.475689067822856,9.104986063796842,64.26138123257975
12.0,2025,7.46606334841629,16.968325791855204,8.295625942684765,67.26998491704374
13.0,2020,17.435897435897434,24.57264957264957,14.914529914529915,43.07692307692308
13.0,2021,58.333333333333336,8.333333333333332,0.0,33.33333333333333
13.0,2022,12.416935636985,16.555914182646667,10.936016707803303,60.091133472565026
13.0,2023,13.399971027089672,14.921048819353905,9.662465594668983,62.01651455888744
13.0,2024,13.894184938036226,14.46615824594852,11.034318398474738,60.60533841754051
13.0,2025,12.340425531914894,19.29078014184397,11.77304964539007,56.59574468085107
14.0,2020,17.016806722689076,25.98039215686275,15.826330532212884,41.17647058823529
14.0,2021,5.714285714285714,14.285714285714285,20.0,60.0
14.0,2022,11.682242990654206,17.020129403306974,11.538461538461538,59.75916606757728
14.0,2023,12.629107981220658,17.480438184663537,10.5320813771518,59.358372456964005
14.0,2024,12.462462462462462,17.942942942942945,9.734734734734735,59.85985985985987
14.0,2025,12.984293193717278,16.649214659685864,11.832460732984293,58.53403141361257
15.0,2020,16.480654761904763,20.907738095238095,15.550595238095239,47.061011904761905
15.0,2021,11.666666666666666,16.666666666666664,6.666666666666667,65.0
15.0,2022,10.361276196434158,15.78823897403816,11.065060994682515,62.78542383484517
15.0,2023,11.685221381830543,13.792810401971616,10.350981558596075,64.17098665760177
15.0,2024,10.767218831734962,13.76416739319965,10.489319965126418,64.97929380993898
15.0,2025,11.002304147465438,15.610599078341014,9.44700460829493,63.94009216589862
16.0,2020,12.365591397849462,11.794354838709678,10.51747311827957,65.32258064516128
16.0,2021,4.819277108433735,4.819277108433735,9.63855421686747,80.72289156626506
16.0,2022,8.126967917624032,8.322695940770998,7.582333418432475,75.9680027231725
16.0,2023,8.175774842441509,8.080808080808081,7.536907536907537,76.20650953984287
16.0,2024,8.726400202058471,7.823451411252131,7.337248216202563,76.11290017048682
16.0,2025,7.423312883435583,8.83435582822086,8.220858895705522,75.52147239263803
17.0,2020,14.91421029476463,23.6691597008359,16.190057193136823,45.22657281126265
17.0,2021,11.009445100354192,14.935064935064934,10.301062573789846,63.75442739079102
17.0,2022,9.68910353154241,14.835496528825837,10.504074856625415,64.97132508300633
17.0,2023,11.706948640483382,14.539274924471298,8.648036253776436,65.10574018126889
17.0,2024,11.235614778921866,14.65778316172017,9.327680193821926,64.77892186553605
17.0,2025,12.017167381974248,14.124073351541163,9.559110417479516,64.29964884900508
18.0,2020,20.453656628861946,32.1861556511537,16.621040281579976,30.73914743840438
18.0,2021,12.240768841679312,20.080930703085485,10.748609003540718,56.92969145169449
18.0,2022,11.655172413793103,21.572413793103447,13.379310344827585,53.39310344827586
18.0,2023,21.096071310663586,19.973588643116543,8.682733575437439,50.247606470782436
18.0,2024,15.964155326916693,20.37836043810156,10.687022900763358,52.970461334218385
18.0,2025,12.779673871824043,19.871065604854003,11.869548729616989,55.479711793704965
19.0,2020,16.602129719264276,29.114230396902226,15.246853823814133,39.03678606001936
19.0,2021,11.411992263056092,17.504835589941973,10.686653771760154,60.39651837524178
19.0,2022,11.82531894013739,16.26594700686948,11.21197252208047,60.69676153091266
19.0,2023,13.911472448057813,11.924119241192411,9.620596205962059,64.54381210478772
19.0,2024,10.688729874776387,20.214669051878353,8.720930232558139,60.37567084078712
19.0,2025,13.601127554615926,15.151515151515152,8.809020436927414,62.43833685694151
20.0,2020,19.189071986123157,27.38508239375542,16.088464874241108,37.33738074588031
20.0,2021,13.16415543219667,15.939730372720062,10.428231562252181,60.467882632831085
20.0,2022,13.17416329140908,17.949264549136647,11.127691323811554,57.74888083564272
20.0,2023,16.99346405228758,18.03921568627451,8.758169934640522,56.209150326797385
20.0,2024,11.387163561076605,17.3567977915804,10.904071773636991,60.35196687370601
20.0,2025,12.220566318926975,17.48633879781421,9.289617486338798,61.003477396920026
