annee,arrondissement,code_postal,nature_programme,mode_realisation,nb_logements,coord_x,coord_y
2001,12,75012,,acquisition conventionnement,,2.398175442412243,48.83399817959342
2001,19,75019,,acquisition réhabilitation,,2.3895183752327043,48.8783619998301
2001,20,75020,,acquisition réhabilitation,,2.403865260493333,48.85500366971155
2001,10,75010,,acquisition conventionnement,,2.366804047083707,48.86880747974437
2001,14,75014,,acquisition conventionnement,,2.3237456731730535,48.83049983027532
2001,19,75019,,construction neuve,,2.4058740213411878,48.87762006986145
2001,15,75015,,construction neuve,,2.285676146237858,48.84517205042952
2002,9,75009,,acquisition réhabilitation,,2.342249768365205,48.87601715021949
2002,20,75020,,acquisition réhabilitation,,2.3875022070302285,48.86735197040677
2002,3,75003,,acquisition conventionnement,,2.360633115510238,48.865804740126045
2002,10,75010,,acquisition réhabilitation,,2.3505647123497395,48.87371182979418
2002,16,75016,,acquisition réhabilitation,,2.2812028156555755,48.86627218990042
2002,15,75015,,acquisition réhabilitation,,2.3132931682041624,48.840825680272815
2002,14,75014,,construction neuve,,2.318892759275523,48.83354721969243
2002,18,75018,,construction neuve,,2.351917730182831,48.88627108966837
2002,14,75014,,acquisition réhabilitation,,2.318608378137629,48.834132900220126
2003,19,75019,,acquisition conventionnement,,2.3775063340899814,48.87436412017787
2003,15,75015,,acquisition réhabilitation,,2.2980661072838604,48.84991422009899
2003,16,75016,,acquisition conventionnement,,2.287112508148172,48.87558304004968
2003,20,75020,,construction neuve,,2.400457692551963,48.85424053002993
2003,18,75018,,acquisition réhabilitation,,2.359011616336653,48.890172530382905
2003,11,75011,,acquisition réhabilitation,,2.3723131395320274,48.86394821008894
2003,19,75019,,construction neuve,,2.4096111726007936,48.87831655991223
2004,9,75009,,acquisition réhabilitation,,2.3399109445467587,48.87404825998757
2004,12,75012,,acquisition conventionnement,,2.4073046496028963,48.84411257956543
2004,11,75011,,acquisition conventionnement,,2.394535992423695,48.85022533002471
2004,10,75010,,construction neuve,,2.3736638792222124,48.8736672597286
2004,13,75013,,construction neuve,,2.3726653022473783,48.82136722963405
2004,3,75003,,acquisition réhabilitation,,2.3673175075848363,48.85960654999909
2004,11,75011,,acquisition conventionnement,,2.3921425282107456,48.85180683971143
2004,15,75015,,construction neuve,,2.2833663175212298,48.84395218966481
2004,14,75014,,acquisition réhabilitation,,2.3215009915852187,48.836163269668695
2005,20,75020,,acquisition réhabilitation,,2.3825478701107388,48.87231483990939
2005,14,75014,,acquisition réhabilitation,,2.3355695410789052,48.83296585974765
2005,7,75007,,construction neuve,,2.3199192365604175,48.849954089736144
2005,11,75011,,acquisition réhabilitation,,2.3869526935251075,48.855019279927475
2005,10,75010,,acquisition conventionnement,,2.368534894977885,48.877786039936126
2006,3,75003,,acquisition réhabilitation,,2.3528218804362675,48.86320244001813
2006,13,75013,,construction neuve,,2.3738086135622822,48.82597081016065
2006,18,75018,,acquisition réhabilitation,,2.34186755569362,48.89765828976208
2006,11,75011,,acquisition conventionnement,,2.370668595478698,48.85352911003876
2006,15,75015,,construction neuve,,2.282769085391501,48.84145252004566
2006,14,75014,,construction neuve,,2.321477215404849,48.824750120397226
2006,18,75018,,construction neuve,,2.3596180531992004,48.88586304014125
2007,3,75003,,acquisition réhabilitation,,2.3559502255603797,48.864663789960105
2007,19,75019,,acquisition conventionnement,,2.383923989335375,48.88452763004101
2007,20,75020,,construction neuve,,2.404419656234418,48.868599020152075
2007,20,75020,,acquisition réhabilitation,,2.4016907314227516,48.875824280103714
2007,18,75018,,construction neuve,,2.3510241975452844,48.89292307966588
2007,15,75015,,acquisition réhabilitation,,2.3061806203407977,48.84068371972811
2007,1,75001,,acquisition réhabilitation,,2.344824396494047,48.86123944978798
2007,14,75014,,acquisition réhabilitation,,2.3219657876093094,48.824619240116206
2007,12,75012,,construction neuve,,2.3417113574382107,48.85683833000849
2007,12,75012,,construction neuve,,2.368833620401075,48.847355170205134
2007,8,75008,,construction neuve,,2.326457344462476,48.87780922964207
2007,16,75016,,acquisition réhabilitation,,2.273597019664826,48.84962568975438
2007,19,75019,,acquisition réhabilitation,,2.3982811290385215,48.88091399035574
2008,4,75004,,acquisition réhabilitation,,2.354585522077262,48.85842918012989
2008,13,75013,,construction neuve,,2.347710407638532,48.8220875998465
2008,20,75020,,acquisition conventionnement,,2.395928303637966,48.87175195968787
2008,17,75017,,acquisition réhabilitation,,2.2923283743434073,48.886772700272175
2008,20,75020,,acquisition réhabilitation,,2.4020498844581875,48.85722772027663
2008,14,75014,,acquisition conventionnement,,2.3128283255863904,48.831077459592784
2008,5,75005,,acquisition conventionnement,,2.361812734598992,48.842121279813746
2008,4,75004,,acquisition conventionnement,,2.358619374676039,48.85773835001198
2008,12,75012,,acquisition réhabilitation,,2.407539425100724,48.8359798498632
2009,20,75020,,acquisition réhabilitation,,2.4036388292183766,48.85587965974147
2009,19,75019,,construction neuve,,2.384196515065885,48.888652209673005
2009,15,75015,,acquisition conventionnement,,2.2997593600871746,48.83317339983937
2009,13,75013,,acquisition réhabilitation,,2.367266724452973,48.834450289693024
2009,13,75013,,acquisition conventionnement,,2.3432228044878665,48.82938684028304
2009,17,75017,,acquisition réhabilitation,,2.3267305134917446,48.89143426965147
2009,16,75016,,construction neuve,,2.25949882860669,48.84840331982555
2010,19,75019,,construction neuve,,2.3806808603817493,48.88820959000891
2010,2,75002,,acquisition réhabilitation,,2.3472636902753763,48.86763761004924
2010,17,75017,,acquisition réhabilitation,,2.296354063052345,48.88770438033848
2010,20,75020,,construction neuve,,2.3835553386236046,48.87320740025683
